State,county,winner
Alabama,Jefferson,Clinton
Alabama,Mobile,Trump
Alabama,Madison,Trump
Alabama,Shelby,Trump
Alabama,Montgomery,Clinton
Alabama,Baldwin,Trump
Alabama,Tuscaloosa,Trump
Alabama,Lee,Trump
Alabama,Morgan,Trump
Alabama,Calhoun,Trump
Alabama,Etowah,Trump
Alabama,Houston,Trump
Alabama,Limestone,Trump
Alabama,Lauderdale,Trump
Alabama,St. Clair,Trump
Alabama,Cullman,Trump
Alabama,Elmore,Trump
Alabama,Marshall,Trump
Alabama,Talladega,Trump
Alabama,Walker,Trump
Alabama,DeKalb,Trump
Alabama,Blount,Trump
Alabama,Autauga,Trump
Alabama,Colbert,Trump
Alabama,Jackson,Trump
Alabama,Coffee,Trump
Alabama,Russell,Clinton
Alabama,Dallas,Clinton
Alabama,Dale,Trump
Alabama,Tallapoosa,Trump
Alabama,Chilton,Trump
Alabama,Covington,Trump
Alabama,Escambia,Trump
Alabama,Lawrence,Trump
Alabama,Chambers,Trump
Alabama,Pike,Trump
Alabama,Clarke,Trump
Alabama,Marion,Trump
Alabama,Franklin,Trump
Alabama,Geneva,Trump
Alabama,Marengo,Clinton
Alabama,Cherokee,Trump
Alabama,Barbour,Trump
Alabama,Winston,Trump
Alabama,Monroe,Trump
Alabama,Randolph,Trump
Alabama,Pickens,Trump
Alabama,Macon,Clinton
Alabama,Bibb,Trump
Alabama,Butler,Trump
Alabama,Washington,Trump
Alabama,Fayette,Trump
Alabama,Henry,Trump
Alabama,Hale,Clinton
Alabama,Choctaw,Trump
Alabama,Lamar,Trump
Alabama,Lowndes,Clinton
Alabama,Clay,Trump
Alabama,Conecuh,Trump
Alabama,Cleburne,Trump
Alabama,Sumter,Clinton
Alabama,Crenshaw,Trump
Alabama,Wilcox,Clinton
Alabama,Perry,Clinton
Alabama,Coosa,Trump
Alabama,Greene,Clinton
Alabama,Bullock,Clinton
Arizona,Maricopa,Trump
Arizona,Pima,Clinton
Arizona,Yavapai,Trump
Arizona,Pinal,Trump
Arizona,Mohave,Trump
Arizona,Coconino,Clinton
Arizona,Cochise,Trump
Arizona,Yuma,Trump
Arizona,Navajo,Trump
Arizona,Gila,Trump
Arizona,Apache,Clinton
Arizona,Graham,Trump
Arizona,Santa Cruz,Clinton
Arizona,La Paz,Trump
Arizona,Greenlee,Trump
Arkansas,Pulaski,Clinton
Arkansas,Benton,Trump
Arkansas,Washington,Trump
Arkansas,Saline,Trump
Arkansas,Faulkner,Trump
Arkansas,Sebastian,Trump
Arkansas,Garland,Trump
Arkansas,Craighead,Trump
Arkansas,White,Trump
Arkansas,Lonoke,Trump
Arkansas,Jefferson,Clinton
Arkansas,Crawford,Trump
Arkansas,Pope,Trump
Arkansas,Baxter,Trump
Arkansas,Union,Trump
Arkansas,Boone,Trump
Arkansas,Miller,Trump
Arkansas,Crittenden,Clinton
Arkansas,Greene,Trump
Arkansas,Independence,Trump
Arkansas,Mississippi,Trump
Arkansas,Cleburne,Trump
Arkansas,Hot Spring,Trump
