state,poll_grade,sample_size,voter_type,poll_weight,dem_cand,rep_cand,poll_duration,poll_methodology,days_before_election
Virginia,A+,1024.0,lv,4.830424,0.4615971,0.4083104,3.0,Phone,9.0
Florida,A,1251.0,lv,4.020932,0.4625807,0.4549601,4.0,Phone,15.0
Pennsylvania,B-,3217.0,rv,3.978914,0.468825,0.4356416,5.0,Phone,9.0
Florida,A,815.0,lv,3.355515,0.4172252,0.4791308,2.0,Phone,12.0
North Carolina,A,780.0,lv,3.321935,0.4509613,0.421607,1.0,Phone,13.0
Florida,A,779.0,lv,3.3183,0.43077290000000007,0.45226420000000006,1.0,Phone,13.0
Pennsylvania,B,1091.0,lv,3.2147509999999997,0.4759323,0.39866349999999995,2.0,Online,11.0
Florida,A+,805.0,lv,3.20827,0.4266839,0.461545,3.0,Phone,15.0
California,A,1024.0,lv,3.137293,0.5559717,0.2949549,9.0,Phone,16.0
Pennsylvania,A,824.0,lv,3.100477,0.45613240000000005,0.4139754,2.0,Phone,14.0
Colorado,B,997.0,lv,3.0522,0.41569940000000005,0.3894028,2.0,Online,11.0
Arizona,B,994.0,lv,3.0468029999999997,0.4157856,0.43912909999999994,2.0,Online,11.0
North Carolina,B,992.0,lv,3.043198,0.47600629999999994,0.4484283,2.0,Online,11.0
New Hampshire,A,768.0,lv,2.8134419999999998,0.42840870000000003,0.38553370000000003,4.0,Phone,15.0
Virginia,B,800.0,lv,2.7798830000000003,0.486454,0.43154850000000006,2.0,Phone,9.0
North Carolina,A,792.0,lv,2.747624,0.456013,0.4172813,3.0,Phone,16.0
Iowa,A-,791.0,lv,2.6817189999999997,0.43915079999999995,0.44778,6.0,Phone,13.0
Maine,B,750.0,lv,2.673305,0.4563626,0.40178010000000003,2.0,Phone,9.0
Pennsylvania,B+,652.0,lv,2.667841,0.4844522,0.39861870000000005,4.0,Phone,9.0
Florida,C-,2809.0,lv,2.635225,0.44589940000000006,0.44382459999999996,6.0,Online,8.0
Minnesota,A,656.0,lv,2.635078,0.472622,0.39174770000000003,4.0,Phone,13.0
Georgia,C-,2665.0,lv,2.629559,0.4260584,0.4533709,6.0,Online,8.0
New Hampshire,B+,618.0,lv,2.626933,0.4566956,0.4057217,4.0,Phone,9.0
Texas,C+,980.0,lv,2.6195470000000003,0.3976489,0.5098872,2.0,Phone,10.0
Florida,B-,1301.0,rv,2.606538,0.4773825,0.47159209999999996,1.0,Phone,13.0
California,C-,2505.0,lv,2.599716,0.5358651999999999,0.2939222,6.0,Online,8.0
Florida,B+,819.0,lv,2.595333,0.4386593,0.42397909999999994,5.0,Phone,14.0
North Carolina,B-,1273.0,rv,2.579429,0.48757090000000003,0.47093490000000005,1.0,Phone,13.0
Florida,B+,742.0,lv,2.573995,0.46820029999999996,0.4394701,1.0,Phone,13.0
Nevada,A,707.0,lv,2.559777,0.4092252,0.45190559999999996,4.0,Phone,15.0
Texas,B,1031.0,lv,2.556044,0.4238375,0.4707659,1.0,Online,17.0
Georgia,A,683.0,rv,2.5469470000000003,0.41745730000000003,0.5038564999999999,2.0,Phone,12.0
Ohio,B,800.0,lv,2.545456,0.4446526,0.4375848,1.0,Phone,12.0
Pennsylvania,C-,2255.0,lv,2.52833,0.4759483,0.40368499999999996,6.0,Online,8.0
Virginia,A-,749.0,lv,2.5197439999999998,0.499559,0.38612520000000006,6.0,Phone,13.0
