ID,Pollster,Polls,Live Caller With Cellphones,Internet,NCPP/AAPOR/Roper,Polls.1,Simple Average Error,Races Called Correctly,Advanced Plus-Minus,Predictive Plus-Minus,538 Grade,Banned by 538,Mean-Reverted Bias
1,Monmouth University,71,yes,no,yes,41,5.488592,0.8521127000000001,-1.452013,-1.200763,A+,no,0.5892957
2,Field Research Corporation (Field Poll),25,yes,no,yes,17,3.8568,1.0,-2.54074,-1.142149,A+,no,-1.095745
3,Selzer & Company,37,yes,no,yes,24,4.620541,0.8378378000000001,-1.624378,-1.119856,A+,no,-0.0074074
4,Elway Research,18,yes,no,yes,16,3.987778,0.8888889000000001,-2.306804,-0.98125,A+,no,0.481087
5,Ciruli Associates,17,yes,no,yes,16,3.604118,0.9411765,-2.0022580000000003,-0.9534630999999999,A+,no,-0.7176087
6,ABC News/Washington Post,51,yes,no,yes,46,3.021961,0.7843137,-1.041506,-0.8607013000000001,A+,no,0.5755263
7,Grove Insight,29,yes,no,no,29,3.140344,0.8965517,-2.512963,-0.8169233,A,no,0.48084750000000004
8,Marist College,146,yes,no,yes,85,5.395822,0.8801370000000001,-0.8353609000000001,-0.8118232,A,no,-0.6708696
9,Muhlenberg College,22,yes,no,yes,21,3.493636,0.9090908999999999,-1.327424,-0.7950341999999999,A,no,-0.4982353
10,National Journal,12,yes,no,yes,12,2.5966669999999996,1.0,-2.609999,-0.7897959,A,no,-0.1785714
11,Public Policy Institute of California,12,yes,no,yes,8,4.065,1.0,-1.9927540000000001,-0.7877255,A,no,-0.7092106
12,SurveyUSA,763,no,no,yes,597,4.62772,0.9017038,-0.9754659999999999,-0.756749,A,no,0.09031900000000001
13,University of Cincinnati (Ohio Poll),38,yes,no,yes,29,3.7292110000000003,0.9342104999999999,-0.9062568000000001,-0.7280639,A,no,-1.453051
14,Siena College,42,yes,no,yes,38,5.331666,0.8452381,-0.8431964,-0.7085312,A,no,-0.2779412
15,Fairleigh Dickinson University (PublicMind),18,yes,no,yes,17,4.0777779999999995,0.9444444,-1.250776,-0.700291,A,no,0.045106400000000005
16,"Research & Polling, Inc.",26,yes,no,no,25,4.136154,0.8461539,-1.693069,-0.6159658,A,no,-0.6661818
17,Fox News/Anderson Robbins Research/Shaw & Company Research,24,yes,no,yes,9,6.39625,0.6458333,-0.7573535,-0.5699349,A,no,0.4471795
18,Marquette University,7,yes,no,yes,4,2.594286,1.0,-3.7625629999999997,-0.569905,A,no,-0.05941180000000001
